,Draft_Year,Rk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_PERC,3P_PERC,FT_PERC_per_Game,MP_per_Game,PTS_per_Game,TRB_per_Game,AST_per_Game,WS,WS_per_48,BPM,VORP
0,1996,1.0,PHI,Allen Iverson,Georgetown University,14,914,37584,24368,3394,5624,0.425,0.313,0.78,41.1,26.7,3.7,6.2,99.0,0.126,2.7,44.1
1,1996,2.0,TOR,Marcus Camby,University of Massachusetts Amherst,17,973,28684,9262,9513,1837,0.466,0.205,0.67,29.5,9.5,9.8,1.9,81.6,0.13699999999999998,2.9,35.6
2,1996,3.0,VAN,Shareef Abdur-Rahim,University of California,12,830,28882,15028,6239,2109,0.47200000000000003,0.297,0.81,34.8,18.1,7.5,2.5,71.2,0.11800000000000001,0.9,21.1
3,1996,4.0,MIL,Stephon Marbury,Georgia Institute of Technology,13,846,31891,16297,2516,6471,0.433,0.325,0.784,37.7,19.3,3.0,7.6,77.5,0.11699999999999999,1.2,25.6
4,1996,5.0,MIN,Ray Allen,University of Connecticut,18,1300,46344,24505,5272,4361,0.452,0.4,0.894,35.6,18.9,4.1,3.4,145.1,0.15,3.0,58.1
5,1996,6.0,BOS,Antoine Walker,University of Kentucky,12,893,31531,15647,6891,3170,0.414,0.325,0.633,35.3,17.5,7.7,3.5,38.1,0.057999999999999996,0.8,21.9
6,1996,7.0,LAC,Lorenzen Wright,University of Memphis,13,778,18535,6191,4943,622,0.45899999999999996,0.069,0.645,23.8,8.0,6.4,0.8,30.5,0.079,-2.0,0.0
7,1996,8.0,NJN,Kerry Kittles,Villanova University,8,507,16929,7165,1983,1295,0.439,0.37799999999999995,0.78,33.4,14.1,3.9,2.6,44.8,0.127,1.9,16.9
8,1996,9.0,DAL,Samaki Walker,University of Louisville,10,445,7612,2376,2089,252,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,0.08900000000000001,-3.0,-1.8
9,1996,10.0,IND,Erick Dampier,Mississippi State University,16,987,24003,7309,7005,817,0.498,0.125,0.626,24.3,7.4,7.1,0.8,52.7,0.105,0.2,13.1
